recipe_name,author,preparation_time,cook_time,total_time,rest_time,quantity,ingredients
Humus de petits pois,Lisa van den Berg,10 min,0 min,10 min,0 min,1 bol,"['100 g de petits pois', '2 c.s. de tahin', '0.5  de citron jaune', ""2  gousses d'ail"", ""30 ml d'huile d'olive"", '1 pincée de poivre', '2 pincées de cumin', '1 pincée de sel']"
Sauce apéro au potiron,Lisa van den Berg,40 min,0 min,40 min,0 min,1 bol,"['400 g de potiron', '50 g de feta', ""20 ml d'huile d'olive"", '4 c.c. de cumin', '2 c.c. de coriandre']"
Crème glacée végan aux Speculos,Magimix,2 h 30,0 min,2 h 30,0 min,1 bol,"['120 g de noix de cajou', ""200 ml d'eau"", '400 ml de lait de coco', '200 g de pâte de spéculoos', '120 g de sucre roux', ""2 c.c. d'extrait de vanille""]"
Mousse aérienne aux fraises,Magimix,30 min,15 min,2 h 45,2 h,10 personnes,"['400 g de fraises', '50 g de sucre', '2 c.s. de jus de citron jaune', '3 feuilles feuilles de gélatine', ""2  blancs d'œufs"", '210 ml de crème liquide (30 % mat. grasse min.)', '1 c.s. de sucre glace', '100 g de framboises', '100 g de myrtilles']"
Sauce pour poulet au beurre,Magimix,0 min,40 min,40 min,0 min,4 personnes,"[""30 ml d'huile végétale"", '1 c.c. de cumin', '1 bâton de cannelle', '2  badianes', '2  piments', ""5  gousses d'ail"", '2.5 cm de gingembre', '1  oignon', '4  tomates', '1 c.c. de coriandre', '0.5 c.s. de masala', '1 c.c. de cumin', '2.7 g de chili en poudre', ""200 ml d'eau"", '30 g de beurre', '150 ml de crème']"
Gnocchis aux épinards,Magimix,15 min,25 min,40 min,0 min,2 personnes,"['200 g de pommes de terre', ""100 g d'épinards"", '200 g de farine T45', '50 g de fécule de maïs (Maïzena®)', '1 c.c. de noix de muscade', '1 pincée de fleur de sel', '1 pincée de poivre', '1  cube de bouillon de légumes', '10 g de beurre demi-sel', '3 c.s. de crème fraîche', '3 c.s. de fromage à tartiner', ""0.5 bouquet d'aneth"", ""25 ml d'huile d'olive""]"
Tarte aux échalotes rôties,Magimix,25 min,45 min,1 h 10,0 min,8 personnes,"[""250 g d'échalotes"", ""100 ml d'huile d'olive"", '25 ml de sauce soja', ""1 c.s. de sirop d'agave"", '1 c.s. de vinaigre balsamique', '3 c.c. de persillade', '1 c.s. de paprika', '1  pâte brisée', '100 g de fromage frais', '60 g de parmesan', '1 bouquet de thym', '1 c.s. de crème fraîche', ""5 ml d'huile d'olive"", '6  de mâche', '1 pincée de fleur de sel', '1 pincée de poivre', '1  citron jaune']"
Sauce à salade thaï,Magimix,5 min,0 min,5 min,0 min,1 bol,"['50 g de beurre de cacahuète', '50 ml de vinaigre de riz', ""125 ml d'huile de tournesol"", '50 ml de sauce soja', '1  citron vert', '3 c.c. de gingembre en poudre', '1 c.s. de graines de sésame', '12 feuilles de coriandre', '1  piment']"
Roses d'amour,Magimix,10 min,40 min,1 h,10 min,8 pièces,"['360 g de farine T45', '150 g de sucre', '180 g de beurre', '1  œuf', ""1  jaune d'œuf"", '4  pommes', ""125 ml d'eau"", '1  citron jaune', '25 g de sucre glace']"
Gaufres au lentilles et aux épinards,Magimix,10 min,5 min,30 min,15 min,10 pièces,"['200 g de lentilles corail', '1  oignon rouge', ""2  gousses d'ail"", ""125 g d'épinards"", '50 g de persil', '1 c.c. de cumin', '1 c.c. de curry en poudre', '50 g de farine T45', '1  œuf', '100 g de yaourt à la grecque', ""25 ml d'huile d'olive"", '1 pincée de fleur de sel', '1 pincée poivre']"
Crémeux d'amour aux agrumes,Magimix,30 min,10 min,1 h 10,30 min,4 personnes,"['1  citron jaune', '500 ml de crème liquide', '80 g de sucre glace', '1  clémentine', '1  pamplemousse', '1  orange', '1  citron vert', '20  framboises']"
Matcha frappé,Magimix,5 min,0 min,5 min,0 min,2 verres,"['4 c.c. de poudre de thé vert matcha', '4 c.c. de sucre roux', ""500 ml de lait d'avoine"", '20  glaçons']"
Café frappé,Magimix,5 min,0 min,5 min,0 min,2 verres,"['4 c.c. de café', '2 c.c. de sucre', ""700 ml d'eau"", '20  glaçons']"
Galette de patate douce,Magimix,15 min,5 min,20 min,0 min,8 personnes,"['250 g de patate douce', '2  pommes', '10 g de gingembre', '2  œufs', '2 c.s. de farine T45', ""1 c.s. d'huile d'olive"", '0.5 bouquet de coriandre', '1 pincée de fleur de sel', '1 pincée de poivre', '100 g de crème fraîche']"
Crème d'olives vertes et ricotta,Magimix,5 min,0 min,5 min,0 min,1 bol,"[""2  gousses d'ail"", '0.5  oignon', '150 g olives', '200 g de ricotta', '8 feuilles de basilic', ""1 c.s. d'huile d'olive"", '1 pincée de fleur de sel', '1 pincée de poivre']"
Crème de carottes apéro,Magimix,10 min,20 min,45 min,15 min,1 bol,"['400 g de carottes', '1  échalote', ""1  gousse d'ail"", '2 c.s. de beurre de cacahuète', '30 g de fromage blanc', ""1 zeste d'orange"", '30 ml de jus d’orange', ""25 ml d'huile d'olive"", '1 pincée de sel', '1 pincée de poivre', '15 g de graines de courge']"
Houmous betteraves et sésame,Magimix,5 min,0 min,5 min,0 min,1 bol,"['3  betteraves cuites', ""2  gousses d'ail"", ""3 c.s. d'huile d'olive"", ""45 g de purée d'amande"", '45 g de yaourt à la grecque', '10 feuilles de coriandre', '3 c.s. de jus de citron jaune', '1 c.s. de graines de sésame', '1 pincée de sel', '1 pincée de poivre']"
Mousse aérienne aux fraises,Magimix,30 min,15 min,2 h 45,2 h,10 personnes,"['400 g de fraises', '50 g de sucre', '2 c.s. de jus de citron jaune', '3 feuilles feuilles de gélatine', ""2  blancs d'œufs"", '210 ml de crème liquide (30 % mat. grasse min.)', '1 c.s. de sucre glace', '100 g de framboises', '100 g de myrtilles']"
Kare raizu,Magimix,15 min,20 min,45 min,10 min,4 personnes,"['1  cube de bouillon de légumes', '4  tomates cerises', '0.5  oignon', ""2  gousses d'ail"", '0.5 bouquet de thym', '1 branche de romarin', '1 pincée origan', '1  poivron rouge', '1  poivron jaune', ""50 ml d'huile d'olive"", ""2  gousses d'ail"", '2 c.s. de concentré de tomate', '0.5  oignon', '2  tomates cerises', '1 pincée de fleur de sel', '1 pincée de poivre', '600 g de bœuf']"
Pâte à tartiner aux amandes,Magimix,5 min,15 min,35 min,15 min,1 pot,"['400 g amandes', '1 pincée de fleur de sel']"
Lasagnes épinards et courgettes,Magimix,10 min,50 min,1 h,0 min,6 personnes,"['3  courgettes', '200 g de fromage à tartiner', '1 bouquet de basilic', ""2  gousses d'ail"", ""150 g d'épinards"", ""25 ml d'huile d'olive"", '500 ml de crème épaisse', '1 pincée de fleur de sel', '1 pincée de poivre', '8  feuilles de lasagne', '8  tomates séchées', ""1 pincée d'origan""]"
Pâte à tartiner aux pistaches,Magimix,5 min,15 min,35 min,15 min,1 pot,"['400 g de pistaches', '1 pincée de fleur de sel', ""25 ml d'huile d'olive""]"
"Terrine de poulet, tomates et feta",Magimix,30 min,30 min,13 h,12 h,6 personnes,"['800 g de blancs de poulet', '6  oignons nouveaux', ""6  gousses d'ail"", '2  tomates', '2  tomates', ""50 ml d'huile d'olive"", '25 g de beurre demi-sel', '1 pincée de fleur de sel', '1 pincée de poivre', '1  de bouillon de volaille', '2  piments', '2 c.c. de thym séché', '0.5 c.s. de romarin', '150 ml de vin blanc', '9 feuilles feuilles de gélatine', '150 g de feta', ""2  gousses d'ail""]"
Cheesecake aux radis roses,Magimix,25 min,0 min,4 h 25,4 h,8 personnes,"['350 g de radis', '2  échalotes', '50 ml de vinaigre de cidre', '50 g de sucre', ""50 g d'eau"", '0.5 c.c. de sel', '120 g de crackers', '60 g de beurre', '1 pincée de fleur de sel', '80 g de crème liquide', '160 g de fromage à tartiner', '160 g de fromage de chèvre', '2 feuilles feuilles de gélatine', '1 bouquet de ciboulette', '1 pincée de poivre']"
Banh Mi à l'indienne,Magimix,15 min,5 min,20 min,0 min,4 personnes,"['1  carotte', '1  mangue', '0.5  piment', '10 g de coriandre', ""2 c.s. d'huile de coco"", '2 c.s. de jus de citron vert', '225 g de tofu', '1 c.c. de curry en poudre', '4  petits pains', '75 g de mayonnaise']"
Cake aux bananes,Vanessa Campbell,10 h,1 h,16 h,5 h,8 personnes,"['120 g de beurre', '200 g de sucre roux', '4  bananes', '2  œufs', '225 g de farine T45', '1 c.s. de bicarbonate de soude', ""1 c.s. d'extrait de vanille"", '1 pincée de sel', '1 c.s. de sucre glace']"
Soupe au poulet et au gingembre,Meg Reyes,10 h,2 h 15,12 h 15,0 min,4 personnes,"[""4  gousses d'ail"", '1  oignon', '4 cm de gingembre', '6  cuisses de poulet', ""1 L d'eau"", '12 g de fond de volaille', ""140 g d'épinards"", '100 g de courge', '2 c.s. de nuoc-mâm', '1 pincée de poivre']"
Sponge cake aux fraises,Magimix,10 min,10 min,30 min,10 min,8 personnes,"['225 g de beurre', '225 g de sucre', '225 g de farine auto-levante', '4  œufs', '80 g de confiture de fraises', '150 g de fraises', '25 g de sucre glace', '300 ml de crème liquide (30 % mat. grasse min.)']"
Cornets maison,Magimix,25 min,5 min,30 min,0 min,14 pièces,"['85 g de beurre', '85 g de sucre', ""1 c.c. d'extrait de vanille"", '85 g de farine T45', ""2  blancs d'œufs""]"
Sauté asiatique aux crevettes,Vanessa Campbell,10 h,7 h,17 h,0 min,4 personnes,"['1.5 c.s. de sauce soja', '1 c.s. de mirin, sauce japonaise', '2 c.s. de sauce aux huîtres', ""0.5 c.s. d'huile de sésame"", '1 c.s. de farine de maïs', '2 c.c. de poivre', ""180 ml d'eau"", ""2 c.s. d'huile d'olive"", '500 g de crevettes', '1.5  oignon', '24 g de gingembre', ""2 c.s. gousses d'ail"", '1  brocoli', '150 g de petits pois', '1 c.c. de coriandre']"
Mini frittata pois et feta,Magimix,15 min,40 min,55 min,0 min,9 pièces,"['300 g de petits pois surgelés', '6  œufs', '4 c.s. de crème fraîche', '150 g de feta', '1 pincée de sel', '1 pincée de poivre', '6 feuilles de menthe']"
Lait de poule,pocahontasfann1,10 min,3 min,13 min,0 min,2 verres,"[""2  jaunes d'œufs"", '3 c.s. de sucre roux', '500 ml de lait demi-écrémé, UHT', '1 pincée de noix de muscade', '1 pincée de cannelle', '1 gousse de cardamome']"
Tiramisu mangue-coco,bolidair,30 min,0 min,3 h 30,3 h,6 personnes,"['1  mangue', '250 g de mascarpone', '50 g de sucre', '2 c.s. de sucre', '2  œufs', '1 pincée de sel', '2 c.s. de noix de coco', '200 ml de lait de coco', '12  biscuits à la cuillère']"
Velouté carottes et châtaignes,damien.vrd,15 min,35 min,50 min,0 min,4 personnes,"['800 g de carottes', '200 g de châtaignes', '15 g de beurre', '80 ml de crème liquide', ""1 L d'eau"", '1 pincée de sel', '1 pincée de poivre', ""120 g de pain d'épices""]"
Glace à la vanille,Magimix,20 min,5 min,6 h 25,6 h,6 personnes,"['300 ml de lait entier', '150 ml de crème liquide', '1  gousse de vanille', ""4  jaunes d'œufs"", '100 g de sucre en poudre']"
Muffins poulet-basilic-tomates,Magimix,15 min,15 min,30 min,0 min,10 pièces,"['180 g de farine T55', '1 sachet de levure chimique', '2 pincées de sel', '1 pincée de poivre 5 baies', ""50 ml d'huile d'olive"", '100 ml de lait', '3  œufs', '150 g de blanc de poulet cuit', '100 g de tomates séchées', '60 g de ricotta', '6 feuilles de basilic']"
Pesto de basilic,laurentper,20 min,0 min,20 min,0 min,1 pot,"['2 bouquets de basilic', '50 g de parmesan', '65 g de pignons de pin', ""2  gousses d'ail"", ""125 ml d'huile d'olive"", '1 pincée de sel', '1 pincée de poivre']"
Velouté spécial bébé,lydieheidi,20 min,30 min,50 min,0 min,8 personnes,"['1  courge butternut', '5  pomme de terre', '2  carottes', '1  oignon rouge', ""500 ml d'eau"", '1 c.s. de masala', '1 c.c. de poudre 4 épices', '40 g de noix de cajou', '4 branches de persil']"
Risotto morilles et truffes,irisd_rt,15 min,25 min,40 min,0 min,6 personnes,"['300 g de riz', '1  échalote', '60 g de beurre', '1 L de bouillon de volaille', '120 ml de vin blanc', '30 g de parmesan', '1 c.s. de crème fraîche', '1 pincée de sel', '1 pincée de poivre', '50 g de morilles séchées', '3 c.c. de truffe']"
Rösti de pomme de terre,ophelieoswd,20 min,10 min,30 min,0 min,4 pièces,"['500 g de pommes de terre', ""50 ml d'eau"", '30 g de farine de sarrasin', '1 pincée de sel', '1 pincée de poivre', ""2 c.s. d'huile de colza""]"
Gâteau aux fraises,SAM,3 min,40 h,40 h 3,0 min,8 personnes,"['130 g de beurre', '3  œufs', '180 g de sucre', '230 g de farine', '1 sachet de levure chimique', '100 ml de lait', '1 pincée de sel', ""20 ml de l'alcool de votre choix"", '250 g de fraises']"
Focaccia flower,Magimix,0 min,25 min,2 h 10,1 h 45,8 pièces,"['500 g de farine semi-complète T80', '10 g de levure sèche de boulanger', '10 g de sel', '1 c.s. de miel', ""350 ml d'eau"", ""60 ml d'huile d'olive"", '10  tomates cerises', '3 brins romarin', '1 pincée de sel', '0.5  oignon rouge']"
Gâteau aux trois laits,Magimix,0 min,30 min,4 h 30,4 h,16 pièces,"['125 g de farine T45', '5 g de levure chimique', '4 g de sel', '4  œufs', '200 g de sucre', '60 ml de lait entier', ""1 c.c. d'extrait de vanille"", '397 g de lait concentré sucré', '340 g de lait concentré non sucré', '240 ml de lait entier', '480 ml de crème liquide (30 % mat. grasse min.)', '30 g de sucre', ""1 c.c. d'extrait de vanille"", '16  fraises']"
Curry au poulet facile,Magimix,5 min,25 min,30 min,0 min,2 personnes,"['1  oignon', '2  piments', '1  oignon nouveau', '2 cm de gingembre', ""3  gousses d'ail"", '1 bouquet ciboulette', '3  feuilles de citron kaffir', '1 bouquet coriandre', ""2 c.s. d'huile d'olive"", '1.5 c.s. de sauce soja', '270 ml de lait de coco', '1 c.c. de nuoc-mâm', '400 ml de fond de volaille', '1  blanc de poulet', '1  citron vert', '1 bouquet coriandre']"
Glace coco-cardamome,Magimix,15 min,30 min,2 h 15,1 h 30,6 personnes,"['320 g de lait concentré sucré', '500 ml de crème de coco', '10  cardamome']"
Sorbet au melon,Magimix,15 min,30 min,1 h 45,1 h,6 personnes,"['1  melon', '1  citron vert', ""300 ml d'eau"", '300 g de sucre']"
Yaourt glacé,Magimix,10 min,30 min,40 min,0 min,4 personnes,"['500 g de yaourt à la grecque', '1  gousse de vanille', '2 c.s. de sucre']"
Gelée de poivron,Magimix,10 min,40 min,2 h,1 h 10,6 pots,"['150 g de piment', '150 g de poivron rouge', '1 kg de sucre', '300 ml de vinaigre de cidre', '1 pincée de sel']"
Houmous aux fanes de carottes,Magimix,20 min,0 min,20 min,0 min,1 bol,"['150 g de fanes de carottes', '250 g de pois chiches', '2 c.s. de tahin', ""60 ml d'huile d'olive"", '1  glaçon', ""1  gousse d'ail"", '1 c.c. de paprika', ""1 c.c. d'épices"", '45 ml de jus de citron jaune', '1 pincée de sel', '1 pincée de poivre']"
Soupe aux raviolis chinois,cookexpert.recipes,25 min,40 min,1 h 5,0 min,4 personnes,"['8 feuilles pâte à raviolis chinois', '2  carottes', '1  poireau', '2  blancs de poulet', '2  oignons nouveaux', ""1  gousse d'ail"", '0.25  chou chinois', '2 c.s. de sauce soja', '1 c.s. de nuoc-mâm', ""1 c.s. d'huile de sésame"", '1  cube de bouillon de légumes', ""1 L d'eau"", '1 c.c. de yuzu', '1 pincée de sel', '1 pincée de poivre']"
Cheesecake à la mangue,Emilia Fischer,35 min,1 h,7 h 35,6 h,6 personnes,"['240 g de biscuit à la cuillère', '40 g de noix de coco', '100 g de beurre', '500 g de fromage à tartiner', '200 g de sucre', '4  œufs', '2 c.s. de jus de citron jaune', ""2 c.c. d'arôme vanille"", '300 g de crème', '500 g de mangue']"
Cupcakes à la crème,Magimix,30 min,20 min,50 min,0 min,10 pièces,"['2  œufs', '100 g de sucre', '90 g de margarine', '80 ml de lait', '150 g de farine', '1 sachet de levure', '150 g de margarine', '200 g de sucre glace']"
Frittata à la caprésé,Magimix,15 min,1 h,1 h 15,0 min,6 personnes,"['500 g de tomates cerises', '30 g de basilic', ""2  gousses d'ail"", ""2 c.s. d'huile d'olive"", '8  œufs', '80 ml de crème', '100 ml de lait entier', '0.5 c.c. de sel', ""50 g d'épinards"", '100 g de mozzarella', '1 c.c. de vinaigre balsamique']"
Daquiri à la fraise,Vanessa Campbell,5 min,0 min,5 min,0 min,2 verres,"['8  fraises', '60 ml liqueur', '60 ml de vodka', '30 ml de cointreau', '5 c.s. de jus de citron jaune', '250 g de glaçons']"
Glace au chocolat blanc et macadamia,Vanessa Campbell,15 h,0 min,17 h,2 h,6 personnes,"['2  oeufs', '60 g de sucre', '375 ml de lait entier', '375 ml de crème', '1 pincée de sel', '250 g de chocolat blanc', '100 g de noix']"
Soupe aux tomates,Vanessa Campbell,10 min,30 min,40 min,0 min,4 personnes,"[""2 c.s. d'huile d'olive"", '1  oignon', '2  carottes', '1 kg de tomates', ""250 ml d'eau"", '2 c.s. de sucre', '2  cubes de bouillon de légumes', '5 g de sel', '2 g de poivre', '15  basilic', '1 pincée de piment de cayenne', '125 ml de crème']"
Velouté de carottes au pain d'épices,bluemoon7819,20 min,30 min,50 min,0 min,6 personnes,"['500 g de carottes', '1  échalote', '1  orange', '0.5 c.c. de poudre 4 épices', ""2 tranches de pain d'épices"", '30 g de beurre', ""500 ml d'eau"", '1 pincée de sel', '1 pincée de poivre']"
Quiche au brocoli et poulet,caro_b179,15 min,1 h,1 h 15,0 min,4 personnes,"['1  brocoli', '1  blanc de poulet', '80 g de champignon de Paris', '2  œufs', '100 g de fromage à tartiner', '100 ml de lait demi-écrémé, UHT', '1 c.s. de moutarde', '1 pincée de sel', '1 pincée de poivre', '1  pâte brisée']"
Jarret d'agneau gourmand,Magimix,20 min,3 h 30,3 h 50,0 min,4 personnes,"[""1600 g d'agneau"", ""50 ml d'huile d'olive"", '2  carottes', '2  céleris branches', '2 feuilles de laurier', '1  oignon', ""3  gousses d'ail"", '15 g de graines de moutarde', '900 g de coulis de tomates', '50 g de concentré de tomate', ""3 c.c. d'harissa"", '500 ml de bouillon de bœuf', '500 ml de vin rouge', '1 c.s. de romarin', '1 c.s. de thym', '6  oignons nouveaux', '1 pincée de sel', '1 pincée de poivre', '10 g de persil']"
Café glacé à la grecque,Magimix,5 min,0 min,5 min,0 min,1 verre,"['2 c.c. de café', '1 c.c. de sucre', ""350 ml d'eau"", '10  glaçons']"
Gaspacho de carottes,delapartdececile,10 min,0 min,10 min,0 min,4 personnes,"['3  carottes', '3  oranges', '15 ml de jus de citron jaune', '1 c.c. graines de coriandre', '1 pincée de sel', '1 pincée de poivre', '15 g graines de courge', '1 c.c. de baies roses']"
Curry de bœuf Korma,Vanessa Campbell,0 min,4 h 15,4 h 15,0 min,4 personnes,"['1  oignon', ""3  gousses d'ail"", '2 c.c. de gingembre', ""3 c.s. d'huile d'olive"", '1.2 kg de paleron de boeuf', '1 c.s. de sel', '2 c.c. de poivre', '4 c.c. de pâte de curry rouge thaï', '400 ml de lait de coco', '1  patate douce', '1 poignée de noix de cajou', '1 c.s. de coriandre', '100 g de riz']"
Ragoût de bœuf,Vanessa Campbell,0 min,0 min,0 min,0 min,4 personnes,"['1.2 kg de bœuf', '1 c.s. de sel', '1 c.c. de poivre', ""3 c.s. d'huile d'olive"", ""3  gousses d'ail"", '1  oignon', '2  carottes', '3  céleri branches', '800 g de tomates entières pelées au jus', '2  bouillons de bœuf', '250 ml de vin rouge', ""375 ml d'eau"", '3 feuilles laurier', '500 g de pâtes', '50 g de parmesan', '3 c.s. de concentré de tomate']"
Glace au chèvre frais,Magimix,45 min,0 min,45 min,0 min,6 personnes,"['400 g de fromage de chèvre', '250 g de yaourt à la grecque', '100 g de crème liquide', '30 g de miel', '1 pincée de fleur de sel']"
Taboulé turc,sandrine_aydogan,20 min,10 min,1 h,30 min,4 pâtes,"[""220 g d'eau"", '1.5 c.s. de concentré de tomate', '240 g de boulghour', '1 c.c. de cumin', '1 c.c. de paprika', '1 pincée de piment de cayenne', ""40 g d'huile d'olive"", '4  oignons nouveaux', '10 branches de persil', '150 g de menthe', '150 g de concombre', '100 g de poivron rouge', '100 g de tomate', '25 g de jus de citron jaune', '1 pincée de sel', '1 pincée de poivre']"
Poulet au miel et à l'ail,Vanessa Campbell,5 h,0 min,5 h,0 min,4 personnes,"['1000 g de cuisse de poulet', '80 ml de sauce soja', '80 ml de miel', '2 c.s. de concentré de tomate', '2 c.s. de sauce sriracha', ""4  de gousse d'ail"", '1 c.s. de vinaigre de riz', '2 c.s. de farine de maïs', '1  échalote', '1 pincée de graines de sésame']"
Poulet à la crème à la toscane,Vanessa Campbell,10 min,3 h,3 h 10,0 min,3 personnes,"['750 g de filets de cuisse sans peau', '1 c.s. de sel', '1 c.c. de poivre', '2 c.s. de paprika', ""30 g de poudre d'oignon"", ""2 c.s. d'huile d'olive"", ""3  gousses d'ail"", '125 g de tomates séchées', '2 c.s. de moutarde', '100 ml de fond de volaille', '300 ml de crème fraîche', ""90 g d'épinards"", '100 g de parmesan']"
Gnocchis aux brocolis,marcgarciach,15 min,30 min,45 min,0 min,4 personnes,"['1  brocoli', '350 g de gnocchis', '40 g de pignons de pin', '1  oignon', ""10 ml d'huile d'olive"", '100 g de crème fraîche', '1 pincée de sel', '1 pincée de poivre', '5 brins de persil', '50 g de parmesan']"
Gâteau au fromage blanc et fruits,delices_decouverte,20 min,45 min,1 h 5,0 min,6 personnes,"['500 g de fromage blanc', '60 g de fécule de maïs (Maïzena®)', ""60 g de sirop d'érable"", '2  œufs', '110 g de fruits rouges surgelés', '0.5 sachet de levure chimique', '0.5 sachet de sucre vanillé', '1 zeste de citron jaune']"
Smoothie fruité au butternut,justine_forget,5 min,0 min,5 min,0 min,2 verres,"['120 g de courge butternut', '1  poire', '1  banane', ""500 ml de lait d'amandes"", '1 c.c. de cannelle']"
"Smoothie mangue, ananas et épinards",mondes.a.decouvrir,5 min,0 min,5 min,0 min,2 verres,"[""1 poignée d'épinards"", '0.5  mangue', '0.25  ananas', ""200 ml de lait d'amandes""]"
Carrot cake végé,Magimix,20 min,50 min,1 h 10,0 min,8 personnes,"['250 g de carottes', '100 g de sucre roux', ""60 g d'huile de coco"", ""150 ml de lait d'amandes"", '100 g de compote de pommes', ""1 c.c. d'extrait de vanille"", '230 g de farine T45', '75 g de raisins secs', '75 g de noix', '1 pincée de fleur de sel', '1 pincée de cannelle', '1 sachet de levure chimique', '45 ml de jus de citron jaune', '1 zeste de citron jaune', '3 c.s. de sucre glace', '100 g de noix', ""3 c.s. d'eau""]"
Cookies épeautre et cranberries,Magimix,10 min,10 min,20 min,0 min,6 pièces,"[""80 g d'huile de coco"", '60 g de sucre de canne', ""60 ml de lait d'amandes"", ""25 g de flocons d'avoine"", '1 c.c. de bicarbonate de soude', '1 c.c. de vinaigre de cidre', '60 g de cranberries', ""200 g de farine d'épeautre""]"
Financiers au matcha sans gluten,Magimix,10 min,12 min,22 min,0 min,8 pièces,"[""60 g d'amandes"", '60 g de pistaches', '60 g de flocons d’avoine', '120 g de sucre roux', '1 c.c. de poudre de thé vert matcha', ""4  blancs d'œufs""]"
Granola à l'abricot et à la figue,Magimix,15 min,20 min,35 min,0 min,1 pot,"['25 g de flocons d’avoine', '50 g de noix de pécan', ""50 g d'amandes effilées"", '50 g de graines de courge', '50 g de graines de tournesol', ""50 g de sirop d'agave"", '75 g de figues séchées', ""75 g d'abricots secs""]"
Riz au lait végan à l'indienne,Magimix,20 min,20 min,40 min,0 min,4 personnes,"['100 g de riz Arborio', '1 pincée de pistils de safran', '25 g de raisins secs Golden', '1 pincée de noix de coco en poudre bio', ""1 c.c. d'amandes effilées toastées"", '1 c.c. de pistaches émondées', '65 g de cassonade', '0.5 c.c. de cardamome', '600 ml de lait de noix de cajou']"
