recipe_name,tag,image_url,recipe_url,page,author,preparation_time,cook_time,total_time,rest_time,quantity,ingredients
Matcha frappé,BOISSONS,https://assets.magimix.com/files/rec_15051/avatar_matcha-glace-avatar.jpg,https://www.magimix.fr/recettes/matcha-frappe_c,1,Magimix,5,0,5,0,2 verres,"['4 c.c. de poudre de thé vert matcha', '4 c.c. de sucre roux', ""500 ml de lait d'avoine"", '20  glaçons']"
Café frappé,BOISSONS,https://assets.magimix.com/files/rec_60952/avatar_cafe-glace.jpg,https://www.magimix.fr/recettes/cafe-frappe-c,1,Magimix,5,0,5,0,2 verres,"['4 c.c. de café', '2 c.c. de sucre', ""700 ml d'eau"", '20  glaçons']"
Galette de patate douce,VÉGÉTARIENS,https://assets.magimix.com/files/rec_52579/avatar_galette-patate-avatar.jpg,https://www.magimix.fr/recettes/galette-de-patate-douce_r,1,Magimix,15,5,20,0,8 personnes,"['250 g de patate douce', '2  pommes', '10 g de gingembre', '2  œufs', '2 c.s. de farine T45', ""1 c.s. d'huile d'olive"", '0.5 bouquet de coriandre', '1 pincée de fleur de sel', '1 pincée de poivre', '100 g de crème fraîche']"
Crème d'olives vertes et ricotta,APÉRITIFS,https://assets.magimix.com/files/rec_84912/avatar_olive-cream-avatar.jpg,https://www.magimix.fr/recettes/creme-dolives-vertes-et-ricotta_r,1,Magimix,5,0,5,0,1 bol,"[""2  gousses d'ail"", '0.5  oignon', '150 g olives', '200 g de ricotta', '8 feuilles de basilic', ""1 c.s. d'huile d'olive"", '1 pincée de fleur de sel', '1 pincée de poivre']"
Crème de carottes apéro,APÉRITIFS,https://assets.magimix.com/files/rec_88680/avatar_creme-carotte-avatar.jpg,https://www.magimix.fr/recettes/creme-de-carottes-apero_c,1,Magimix,10,20,45,15,1 bol,"['400 g de carottes', '1  échalote', ""1  gousse d'ail"", '2 c.s. de beurre de cacahuète', '30 g de fromage blanc', ""1 zeste d'orange"", '30 ml de jus d’orange', ""25 ml d'huile d'olive"", '1 pincée de sel', '1 pincée de poivre', '15 g de graines de courge']"
Houmous betteraves et sésame,APÉRITIFS,https://assets.magimix.com/files/rec_65404/avatar_houmous-beet-sesame-avatar.jpg,https://www.magimix.fr/recettes/houmous-betteraves-et-sesame_b,1,Magimix,5,0,5,0,1 bol,"['3  betteraves cuites', ""2  gousses d'ail"", ""3 c.s. d'huile d'olive"", ""45 g de purée d'amande"", '45 g de yaourt à la grecque', '10 feuilles de coriandre', '3 c.s. de jus de citron jaune', '1 c.s. de graines de sésame', '1 pincée de sel', '1 pincée de poivre']"
Mousse aérienne aux fraises,DESSERTS,https://assets.magimix.com/files/rec_35856/avatar_mousse-strawberry-avatar.jpg,https://www.magimix.fr/recettes/mousse-arienne-aux-fraises_r,1,Magimix,30,15,2,2,10 personnes,"['400 g de fraises', '50 g de sucre', '2 c.s. de jus de citron jaune', '3 feuilles feuilles de gélatine', ""2  blancs d'œufs"", '210 ml de crème liquide (30 % mat. grasse min.)', '1 c.s. de sucre glace', '100 g de framboises', '100 g de myrtilles']"
Kare raizu,VIANDES,https://assets.magimix.com/files/rec_67403/avatar_kareraizu-avatar.jpg,https://www.magimix.fr/recettes/kare-raizu_c,1,Magimix,15,20,45,10,4 personnes,"['1  cube de bouillon de légumes', '4  tomates cerises', '0.5  oignon', ""2  gousses d'ail"", '0.5 bouquet de thym', '1 branche de romarin', '1 pincée origan', '1  poivron rouge', '1  poivron jaune', ""50 ml d'huile d'olive"", ""2  gousses d'ail"", '2 c.s. de concentré de tomate', '0.5  oignon', '2  tomates cerises', '1 pincée de fleur de sel', '1 pincée de poivre', '600 g de bœuf']"
Pâte à tartiner aux amandes,DESSERTS,https://assets.magimix.com/files/rec_6250/avatar_pâte-amande-avatar.jpg,https://www.magimix.fr/recettes/pte-tartiner-aux-amandes_m,1,Magimix,5,15,35,15,1 pot,"['400 g amandes', '1 pincée de fleur de sel']"
Lasagnes épinards et courgettes,"PÂTES, RIZ, PIZZA",https://assets.magimix.com/files/rec_52519/avatar_lasagne-epinard-avatar.jpg,https://www.magimix.fr/recettes/lasagnes-epinards-et-courgettes_r,1,Magimix,10,50,1,0,6 personnes,"['3  courgettes', '200 g de fromage à tartiner', '1 bouquet de basilic', ""2  gousses d'ail"", ""150 g d'épinards"", ""25 ml d'huile d'olive"", '500 ml de crème épaisse', '1 pincée de fleur de sel', '1 pincée de poivre', '8  feuilles de lasagne', '8  tomates séchées', ""1 pincée d'origan""]"
Pâte à tartiner aux pistaches,DESSERTS,https://assets.magimix.com/files/rec_71789/avatar_pate-pistache-avatar.jpg,https://www.magimix.fr/recettes/pate-tartiner-aux-pistaches_r,1,Magimix,5,15,35,15,1 pot,"['400 g de pistaches', '1 pincée de fleur de sel', ""25 ml d'huile d'olive""]"
"Terrine de poulet, tomates et feta",APÉRITIFS,https://assets.magimix.com/files/rec_61829/avatar_terrine-poulet-avatar.jpg,https://www.magimix.fr/recettes/terrine-de-poulet-tomates-et-feta_c,1,Magimix,30,30,13,12,6 personnes,"['800 g de blancs de poulet', '6  oignons nouveaux', ""6  gousses d'ail"", '2  tomates', '2  tomates', ""50 ml d'huile d'olive"", '25 g de beurre demi-sel', '1 pincée de fleur de sel', '1 pincée de poivre', '1  de bouillon de volaille', '2  piments', '2 c.c. de thym séché', '0.5 c.s. de romarin', '150 ml de vin blanc', '9 feuilles feuilles de gélatine', '150 g de feta', ""2  gousses d'ail""]"
Cheesecake aux radis roses,ENTRÉES,https://assets.magimix.com/files/rec_69456/avatar_cheesecake-radis-avatar.jpg,https://www.magimix.fr/recettes/cheesecake-au-radis-roses_c,1,Magimix,25,0,4,4,8 personnes,"['350 g de radis', '2  échalotes', '50 ml de vinaigre de cidre', '50 g de sucre', ""50 g d'eau"", '0.5 c.c. de sel', '120 g de crackers', '60 g de beurre', '1 pincée de fleur de sel', '80 g de crème liquide', '160 g de fromage à tartiner', '160 g de fromage de chèvre', '2 feuilles feuilles de gélatine', '1 bouquet de ciboulette', '1 pincée de poivre']"
Banh Mi à l'indienne,VÉGÉTARIENS,https://assets.magimix.com/files/rec_74105/Paneer_BanMi_pg4849_4.jpg,https://www.magimix.fr/recettes/banh-mi-a-l_indienne-1_c,1,Magimix,15,5,20,0,4 personnes,"['1  carotte', '1  mangue', '0.5  piment', '10 g de coriandre', ""2 c.s. d'huile de coco"", '2 c.s. de jus de citron vert', '225 g de tofu', '1 c.c. de curry en poudre', '4  petits pains', '75 g de mayonnaise']"
Cake aux bananes,DESSERTS,https://assets.magimix.com/files/rec_96689/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/cake-aux-bananes_c,1,Vanessa Campbell,10,1,16,5,8 personnes,"['120 g de beurre', '200 g de sucre roux', '4  bananes', '2  œufs', '225 g de farine T45', '1 c.s. de bicarbonate de soude', ""1 c.s. d'extrait de vanille"", '1 pincée de sel', '1 c.s. de sucre glace']"
Soupe au poulet et au gingembre,SOUPES,https://assets.magimix.com/files/rec_33416/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/soupe-au-poulet-et-au-gingembre_c,1,Meg Reyes,10,2,12,0,4 personnes,"[""4  gousses d'ail"", '1  oignon', '4 cm de gingembre', '6  cuisses de poulet', ""1 L d'eau"", '12 g de fond de volaille', ""140 g d'épinards"", '100 g de courge', '2 c.s. de nuoc-mâm', '1 pincée de poivre']"
Sponge cake aux fraises,DESSERTS,https://assets.magimix.com/files/rec_40700/Victoria Sponge square.jpg,https://www.magimix.fr/recettes/sponge-cake-aux-fraises_r,1,Magimix,10,10,30,10,8 personnes,"['225 g de beurre', '225 g de sucre', '225 g de farine auto-levante', '4  œufs', '80 g de confiture de fraises', '150 g de fraises', '25 g de sucre glace', '300 ml de crème liquide (30 % mat. grasse min.)']"
Cornets maison,DESSERTS,https://assets.magimix.com/files/rec_7487/avatar_icecream-cone-avatar.jpg,https://www.magimix.fr/recettes/cornets-maison_c,1,Magimix,25,5,30,0,14 pièces,"['85 g de beurre', '85 g de sucre', ""1 c.c. d'extrait de vanille"", '85 g de farine T45', ""2  blancs d'œufs""]"
Sauté asiatique aux crevettes,POISSONS,https://assets.magimix.com/files/rec_66496/avatar_RECIPE AVATAR12.jpg,https://www.magimix.fr/recettes/saute-asiatique-aux-crevettes_c,1,Vanessa Campbell,10,7,17,0,4 personnes,"['1.5 c.s. de sauce soja', '1 c.s. de mirin, sauce japonaise', '2 c.s. de sauce aux huîtres', ""0.5 c.s. d'huile de sésame"", '1 c.s. de farine de maïs', '2 c.c. de poivre', ""180 ml d'eau"", ""2 c.s. d'huile d'olive"", '500 g de crevettes', '1.5  oignon', '24 g de gingembre', ""2 c.s. gousses d'ail"", '1  brocoli', '150 g de petits pois', '1 c.c. de coriandre']"
Mini frittata pois et feta,VÉGÉTARIENS,https://assets.magimix.com/files/rec_26329/avatar_fritatta-peas-avatar.jpg,https://www.magimix.fr/recettes/mini-frittata-pois-et-feta_c,1,Magimix,15,40,55,0,9 pièces,"['300 g de petits pois surgelés', '6  œufs', '4 c.s. de crème fraîche', '150 g de feta', '1 pincée de sel', '1 pincée de poivre', '6 feuilles de menthe']"
Lait de poule,BOISSONS,https://assets.magimix.com/files/rec_60036/avatar_eggnog-avatar.jpg,https://www.magimix.fr/recettes/lait-de-poule_c,1,pocahontasfann1,10,3,13,0,2 verres,"[""2  jaunes d'œufs"", '3 c.s. de sucre roux', '500 ml de lait demi-écrémé, UHT', '1 pincée de noix de muscade', '1 pincée de cannelle', '1 gousse de cardamome']"
Tiramisu mangue-coco,DESSERTS,https://assets.magimix.com/files/rec_48893/avatar_tiramisu-mango-coco-avatar.jpg,https://www.magimix.fr/recettes/tiramisu-mangue-coco_c,1,bolidair,30,0,3,3,6 personnes,"['1  mangue', '250 g de mascarpone', '50 g de sucre', '2 c.s. de sucre', '2  œufs', '1 pincée de sel', '2 c.s. de noix de coco', '200 ml de lait de coco', '12  biscuits à la cuillère']"
Velouté carottes et châtaignes,SOUPES,https://assets.magimix.com/files/rec_98290/avatar_carotte-chataigne-avatar.jpg,https://www.magimix.fr/recettes/veloute-carottes-et-chataignes,1,damien.vrd,15,35,50,0,4 personnes,"['800 g de carottes', '200 g de châtaignes', '15 g de beurre', '80 ml de crème liquide', ""1 L d'eau"", '1 pincée de sel', '1 pincée de poivre', ""120 g de pain d'épices""]"
Glace à la vanille,GLACES,https://assets.magimix.com/files/rec_198/glace vanille_avatar.jpg,https://www.magimix.fr/recettes/glace-a-la-vanille,1,Magimix,20,5,6,6,6 personnes,"['300 ml de lait entier', '150 ml de crème liquide', '1  gousse de vanille', ""4  jaunes d'œufs"", '100 g de sucre en poudre']"
Muffins poulet-basilic-tomates,APÉRITIFS,https://assets.magimix.com/files/rec_25699/avatar_muffin-poulet-avatar.jpg,https://www.magimix.fr/recettes/muffins-poulet-basilic_c,1,Magimix,15,15,30,0,10 pièces,"['180 g de farine T55', '1 sachet de levure chimique', '2 pincées de sel', '1 pincée de poivre 5 baies', ""50 ml d'huile d'olive"", '100 ml de lait', '3  œufs', '150 g de blanc de poulet cuit', '100 g de tomates séchées', '60 g de ricotta', '6 feuilles de basilic']"
Pesto de basilic,SAUCES,https://assets.magimix.com/files/rec_30596/avatar_pesto-basil-avatar.jpg,https://www.magimix.fr/recettes/pesto-de-basilic_b,1,laurentper,20,0,20,0,1 pot,"['2 bouquets de basilic', '50 g de parmesan', '65 g de pignons de pin', ""2  gousses d'ail"", ""125 ml d'huile d'olive"", '1 pincée de sel', '1 pincée de poivre']"
Velouté spécial bébé,BÉBÉS,https://assets.magimix.com/files/rec_32900/avatar_soupe-courgebb-avatar.jpg,https://www.magimix.fr/recettes/veloute-spcial-bebe_c,1,lydieheidi,20,30,50,0,8 personnes,"['1  courge butternut', '5  pomme de terre', '2  carottes', '1  oignon rouge', ""500 ml d'eau"", '1 c.s. de masala', '1 c.c. de poudre 4 épices', '40 g de noix de cajou', '4 branches de persil']"
Risotto morilles et truffes,"PÂTES, RIZ, PIZZA",https://assets.magimix.com/files/rec_30146/avatar_risotto-truffes-avatar.jpg,https://www.magimix.fr/recettes/risotto-morilles-et-truffes_c,1,irisd_rt,15,25,40,0,6 personnes,"['300 g de riz', '1  échalote', '60 g de beurre', '1 L de bouillon de volaille', '120 ml de vin blanc', '30 g de parmesan', '1 c.s. de crème fraîche', '1 pincée de sel', '1 pincée de poivre', '50 g de morilles séchées', '3 c.c. de truffe']"
Rösti de pomme de terre,LÉGUMES,https://assets.magimix.com/files/rec_37756/avatar_rosti-pdt-avatar.jpg,https://www.magimix.fr/recettes/rosti-de-pomme-de-terre_r,1,ophelieoswd,20,10,30,0,4 pièces,"['500 g de pommes de terre', ""50 ml d'eau"", '30 g de farine de sarrasin', '1 pincée de sel', '1 pincée de poivre', ""2 c.s. d'huile de colza""]"
Gâteau aux fraises,DESSERTS,https://assets.magimix.com/files/rec_42347/avatar_avatar gateau fraises.jpg,https://www.magimix.fr/recettes/gateau-aux-fraises_r,1,SAM,3,40,40,0,8 personnes,"['130 g de beurre', '3  œufs', '180 g de sucre', '230 g de farine', '1 sachet de levure chimique', '100 ml de lait', '1 pincée de sel', ""20 ml de l'alcool de votre choix"", '250 g de fraises']"
Focaccia flower,BOULANGERIE,https://assets.magimix.com/files/rec_84028/avatar_foccacia (2).jpg,https://www.magimix.fr/recettes/focaccia-flower_r,1,Magimix,0,25,2,1,8 pièces,"['500 g de farine semi-complète T80', '10 g de levure sèche de boulanger', '10 g de sel', '1 c.s. de miel', ""350 ml d'eau"", ""60 ml d'huile d'olive"", '10  tomates cerises', '3 brins romarin', '1 pincée de sel', '0.5  oignon rouge']"
Gâteau aux trois laits,DESSERTS,https://assets.magimix.com/files/rec_55656/avatar_tres leche.jpg,https://www.magimix.fr/recettes/gateau-aux-trois-laits_b,1,Magimix,0,30,4,4,16 pièces,"['125 g de farine T45', '5 g de levure chimique', '4 g de sel', '4  œufs', '200 g de sucre', '60 ml de lait entier', ""1 c.c. d'extrait de vanille"", '397 g de lait concentré sucré', '340 g de lait concentré non sucré', '240 ml de lait entier', '480 ml de crème liquide (30 % mat. grasse min.)', '30 g de sucre', ""1 c.c. d'extrait de vanille"", '16  fraises']"
Curry au poulet facile,VIANDES,https://assets.magimix.com/files/rec_62799/RECIPE AVATAR (1).jpg,https://www.magimix.fr/recettes/curry-au-poulet-facile_c,1,Magimix,5,25,30,0,2 personnes,"['1  oignon', '2  piments', '1  oignon nouveau', '2 cm de gingembre', ""3  gousses d'ail"", '1 bouquet ciboulette', '3  feuilles de citron kaffir', '1 bouquet coriandre', ""2 c.s. d'huile d'olive"", '1.5 c.s. de sauce soja', '270 ml de lait de coco', '1 c.c. de nuoc-mâm', '400 ml de fond de volaille', '1  blanc de poulet', '1  citron vert', '1 bouquet coriandre']"
Glace coco-cardamome,GLACES,https://assets.magimix.com/files/rec_53390/format recepten magimix - kademomijs.jpg,https://www.magimix.fr/recettes/glace-coco-cardamome_g,1,Magimix,15,30,2,1,6 personnes,"['320 g de lait concentré sucré', '500 ml de crème de coco', '10  cardamome']"
Sorbet au melon,GLACES,https://assets.magimix.com/files/rec_46906/format recepten magimix - kademomijs (1).jpg,https://www.magimix.fr/recettes/sorbet-au-melon_g,1,Magimix,15,30,1,1,6 personnes,"['1  melon', '1  citron vert', ""300 ml d'eau"", '300 g de sucre']"
Yaourt glacé,GLACES,https://assets.magimix.com/files/rec_73040/avatar_Yoghurtijs zelf maken (frozen yoghurt) (1).jpg,https://www.magimix.fr/recettes/yaourt-glace_g,1,Magimix,10,30,40,0,4 personnes,"['500 g de yaourt à la grecque', '1  gousse de vanille', '2 c.s. de sucre']"
Gelée de poivron,SAUCES,https://assets.magimix.com/files/rec_98808/avatar_jam (1).jpg,https://www.magimix.fr/recettes/gelee-poivron-c,2,Magimix,10,40,2,1,6 pots,"['150 g de piment', '150 g de poivron rouge', '1 kg de sucre', '300 ml de vinaigre de cidre', '1 pincée de sel']"
Houmous aux fanes de carottes,APÉRITIFS,https://assets.magimix.com/files/rec_88754/avatar_houmous-fanes-avatar.jpg,https://www.magimix.fr/recettes/houmous-aux-fanes-de-carottes_c,2,Magimix,20,0,20,0,1 bol,"['150 g de fanes de carottes', '250 g de pois chiches', '2 c.s. de tahin', ""60 ml d'huile d'olive"", '1  glaçon', ""1  gousse d'ail"", '1 c.c. de paprika', ""1 c.c. d'épices"", '45 ml de jus de citron jaune', '1 pincée de sel', '1 pincée de poivre']"
